refID,Size,Symbol,UNT,AUX_2h,AUX_4h,AUX_8h,AUX_24h
NM_009700,14291,Aqp4,0.0819548542120615,0.0399215524861891,0,0,0.0680779204232406
NM_199055,265872,Chst9,0.360831545194736,0.577933096198634,1.37557792792932,1.03379526284856,0.975033235968636
NM_007664,220173,Cdh2,1.57794158646404,11.140383032297,20.6066644439106,14.0558325049055,8.8602247902611
NR_045399,6377,Gm15328,0,0.344902672012739,0.200011581919787,0,0
NR_130158,102052,1700001G01Rik,0.138046142843302,0.158486785351801,0.196375303219907,0.181197556881313,0.108851041717845
NM_001291809,41168,Dsc3,0.616244440548157,0.600779211497978,1.03459054028723,1.24951673840126,1.65792086496658
NM_013505,28708,Dsc2,4.74733539863956,5.95432330781804,8.11535505966226,6.6795584711305,8.4557166882221
NM_001291804,31303,Dsc1,0.0151897022711731,0,0,0,0
NM_181564,35647,Dsg4,0,0,0.008543975174212,0.0114453525811263,0.033932899189707
NM_030596,31007,Dsg3,0.128649081628951,0.17611280076631,0.112794926834623,0.141087137886242,0.0313768362230636
NM_007883,46411,Dsg2,65.0394968993544,73.1719308903888,88.1885953219445,72.5812953560932,76.9570803624249
NM_013697,9077,Ttr,0,0.0628532451889532,0.0335537163198342,0.169405521206989,0
NM_019737,61806,B4galt6,84.118688714555,112.134542521916,134.444014917728,125.197338020088,112.388893999218
NM_177038,78855,Trappc8,75.7349116739223,87.455918933129,118.497356244896,91.798256464965,76.3814722070919
NM_001303005,26925,Rnf138,103.933846734514,125.656463416316,191.037649374103,144.21426229213,106.971947457697
NM_008586,27856,Mep1b,13.2772709955133,16.8670760035718,23.1041198686609,21.6379416138121,17.9491023841546
NM_001033445,172798,Garem1,19.9338930604579,22.8096727610256,28.200816864794,22.7057924528291,17.4073910595816
NM_001081403,101992,Klhl14,0.251127835068093,2.07295910466991,3.12617444304296,2.30998483503251,1.7177002792465
NM_001271580,4543,4930426D05Rik,0.442242071416642,2.69761570889897,3.35831871146984,3.4412939419452,2.27909985052137
NM_027616,360500,Ccdc178,0.0191952979697116,0.0181142711287095,0.0409408637814451,0.0201429256054003,0.00141943167001617
NM_001167777,185139,Asxl3,5.85944102082968,10.4711906661067,17.0674447096942,13.4394466798302,9.44406069873
NM_001161483,345509,Nol4,0.447411637501804,1.36688055987115,3.78706984132963,2.78012228993455,1.90967226451237
NM_199024,348499,Nol4,0.461765723891202,1.42554839151941,3.85894381190758,2.84026863683691,1.95712545558802
NM_001285813,349700,Dtna,3.05395733771422,1.51626554458162,2.36186959258856,2.75595742235043,1.244036465337
NM_001285807,244311,Dtna,4.32509530459531,2.08568543529111,3.09612242642822,3.75040219895057,1.67729017369996
NM_001285808,162238,Dtna,6.48343068603655,3.09978099059259,4.60012003702873,5.5610072944849,2.47681485577459
NR_126066,1858,Gm15972,2.78672238942692,2.52702192379675,0.962357009254949,2.30377441689823,1.85286455807999
NM_001162942,141529,Mapre2,12.9859939075443,16.7743567096864,21.0215933373363,18.1137027581506,15.2625197916159
NM_153058,89892,Mapre2,19.7494650121876,24.9970087946276,31.8304672682711,27.5985455758696,23.1379555639222
NM_027007,9983,Zfp397,105.725190992838,123.727050339537,186.002919189794,124.004911854632,94.5242093786474
NM_011755,15738,Zfp35,73.5474926196229,102.912783376415,158.81307177445,99.3139026270173,96.6991898053076
NM_021559,8505,Zfp24,146.051208235373,206.86698148775,286.998584372609,224.293724383491,208.365768486455
NM_172625,17059,Ino80c,33.4434359467669,51.9194057405249,60.9245335051301,57.3531287859972,51.5148623136738
NM_013814,81473,Galnt1,35.7905406966058,50.2407622857166,64.1890239209176,51.5152845064293,46.7269314148862
NM_026529,6897,2700062C07Rik,60.8306123186062,84.2326000358228,109.302273655961,97.3129213013587,84.654325051899
NM_144861,45243,Rprd1a,77.0631324004054,76.4686603995341,99.9131008519046,81.9242459612909,63.5791751797397
NM_139143,23937,Slc39a6,56.0473422411297,84.8490204364664,110.99396269959,97.9190989501901,86.4657958310125
NM_021448,34870,Elp2,136.806480473965,154.868912349836,192.821087420617,182.241898588377,153.661749178277
NM_026779,47866,Mocos,1.86148240964338,2.96317514014215,3.00748367481331,3.8420139692727,4.59474509746853
NM_001289654,424885,Fhod3,23.0200065767388,20.4479000614894,25.7239499602611,22.3227421126539,14.6167846852927
NM_001142698,41655,Tpgs2,15.8637805081958,17.6245599920809,27.5924480806813,21.4043162660634,17.2929445002391
NM_001033532,298302,AW554918,23.3429676730301,18.328472902883,26.9184030020587,23.7883570444721,18.3077674376861
NR_045398,438013,4930474G06Rik,0.0616657545752869,0.0799879738568973,0.0735530269391094,0.0546760607171613,0.040825944597988
NR_045395,23908,4930527G23Rik,0,0,0.0178744873386049,0.0341302060782507,0
NM_181414,75225,Pik3c3,40.1243978728254,47.2811991967771,57.9474064814293,57.0108450904694,44.1139334345416
NM_009065,342815,Rit2,0.0747736525808277,0.114418481032913,0.122651140102411,0.0510600795637399,0.0585825189347138
NM_009308,9608,Syt4,5.19041050509512,6.71878393538274,11.2874767565806,8.10021578910345,5.77601605985775
NM_026165,29735,Slc25a46,70.9347595905518,68.9275221242528,93.2399895784451,71.5574212538416,64.7305156216919
NM_172965,88679,Sap130,70.6035787205668,78.3996264994085,97.8091722552539,95.1279654018795,84.2064085063957
NM_153515,24260,Ammecr1l,78.0966008032495,94.24887175108,124.111788819004,106.076058991676,93.8442662456457
NM_027002,7484,Polr2d,130.091794048851,161.806048791722,169.139953996494,208.596497992997,181.665140102323
NM_001170967,37586,Wdr33,115.59310610416,131.369288901078,191.909649763906,152.644398363801,116.439289346177
NM_026006,2810,Sft2d3,31.8164379727928,42.0633305659452,63.8913191633249,44.6130324454396,50.7650643506073
NM_144862,27113,Lims2,0.571508552364244,0.617942292112678,0.970295845194421,1.34289335915771,0.761449489874152
NM_001025381,6638,Gpr17,0,0,0,0,0
NM_032394,77698,Myo7b,0.140590201883459,0.0799474823262922,0.1212166273657,0.104983061797153,0.101629931045081
NM_173441,36598,Iws1,151.600495820121,182.278316183882,253.45019115299,207.425840289912,164.316334012815
NM_001042768,15080,Proc,5.68409359700733,6.38830253733573,7.45543662064432,6.05015238148297,4.36000633802424
NM_011946,73663,Map3k2,32.5421423642356,33.6208160807342,46.5059554865128,37.3084614666471,30.380384525838
